英文关键字 (Keyword)	中文翻译 (Translation)	包含关键字物品
Apparel	服饰	1
Aquatic	水系	
Core	核心	9
Dinosaur	恐龙	3
Dragon	龙	9
Drone	无人机	9
Food	食物	
Friend	朋友	
Loot	战利品	
Merchant	商人	
Potion	药水	9
Property	地产	
Ray	射线	6
Reagent	转化	
Relic	遗物	
Tech	科技	1
Tool	工具	4
Toy	玩具	
Vehicle	载具	
Weapon	武器	
AbsorbDestroy	吸收并摧毁	
AbsorbFreeze	吸收并冻结	
AbsorbSlow	吸收并减速	
Ammo	弹药	
Burn	灼烧	
Charge	充能	
Cooldown	冷却	
Crit	暴击	
Damage	伤害	
Experience	经验	
Flying	飞行	4
Freeze	冻结	1
Gold	金币	1
Haste	加速	
Heal	治疗	
Health	生命	1
Income	收入	
Joy	快乐	
Level	等级	
Lifesteal	吸血	1
Poison	剧毒	1
Quest	任务	
Regen	再生	1
Shield	护盾	3
Slow	减速	
Ticket	票券	
Value	价值	
